GEO_NAME,COUNT_TOTAL,COUNT_MEN,COUNT_WOMEN,immigration_status,period_of_immigration
Swift Current,245,130,110,Non-permanent residents,0
Saskatoon,249955,123055,126895,Non-immigrants,0
Saskatoon,56070,27920,28155,Immigrants,0
Saskatoon,4460,2145,2315,Immigrants,Before 1980
Saskatoon,2600,1265,1330,Immigrants,1980 to 1990
Saskatoon,3875,1840,2035,Immigrants,1991 to 2000
Saskatoon,12775,6395,6380,Immigrants,2001 to 2010
Saskatoon,32360,16265,16090,Immigrants,2011 to 2021
Saskatoon,5490,2925,2565,Non-permanent residents,0
North Battleford,16315,7755,8560,Non-immigrants,0
North Battleford,2190,1070,1120,Immigrants,0
North Battleford,180,75,105,Immigrants,Before 1980
North Battleford,90,45,40,Immigrants,1980 to 1990
North Battleford,90,50,40,Immigrants,1991 to 2000
North Battleford,500,250,245,Immigrants,2001 to 2010
North Battleford,1330,645,685,Immigrants,2011 to 2021
North Battleford,280,120,155,Non-permanent residents,0
Prince Albert,39120,18870,20250,Non-immigrants,0
Prince Albert,3700,1845,1850,Immigrants,0
Prince Albert,305,155,145,Immigrants,Before 1980
Prince Albert,145,100,45,Immigrants,1980 to 1990
Prince Albert,155,75,75,Immigrants,1991 to 2000
Prince Albert,695,305,385,Immigrants,2001 to 2010
Prince Albert,2400,1200,1205,Immigrants,2011 to 2021
Prince Albert,515,310,200,Non-permanent residents,0
Estevan,11075,5645,5430,Non-immigrants,0
Estevan,1350,645,700,Immigrants,0
Estevan,75,45,30,Immigrants,Before 1980
Estevan,25,0,25,Immigrants,1980 to 1990
Estevan,75,35,40,Immigrants,1991 to 2000
Estevan,275,150,130,Immigrants,2001 to 2010
Estevan,890,415,475,Immigrants,2011 to 2021
Estevan,130,85,45,Non-permanent residents,0
Weyburn,10500,5115,5385,Non-immigrants,0
Weyburn,1230,630,600,Immigrants,0
Weyburn,125,70,60,Immigrants,Before 1980
Weyburn,40,15,20,Immigrants,1980 to 1990
Weyburn,40,20,20,Immigrants,1991 to 2000
Weyburn,205,110,90,Immigrants,2001 to 2010
Weyburn,820,410,410,Immigrants,2011 to 2021
Weyburn,90,55,35,Non-permanent residents,0
Medicine Hat,66665,32875,33790,Non-immigrants,0
Medicine Hat,7225,3645,3580,Immigrants,0
Medicine Hat,1590,790,800,Immigrants,Before 1980
Medicine Hat,515,245,270,Immigrants,1980 to 1990
Medicine Hat,870,445,425,Immigrants,1991 to 2000
Medicine Hat,1480,790,695,Immigrants,2001 to 2010
Medicine Hat,2765,1370,1395,Immigrants,2011 to 2021
Medicine Hat,700,325,375,Non-permanent residents,0
Brooks,8860,4535,4325,Non-immigrants,0
Brooks,5435,2790,2645,Immigrants,0
Brooks,190,85,105,Immigrants,Before 1980
Brooks,190,110,75,Immigrants,1980 to 1990
Brooks,330,210,125,Immigrants,1991 to 2000
Brooks,1065,550,515,Immigrants,2001 to 2010
Brooks,3660,1835,1825,Immigrants,2011 to 2021
Brooks,350,280,70,Non-permanent residents,0
Lethbridge,101375,50375,51005,Non-immigrants,0
Lethbridge,17380,8545,8840,Immigrants,0
Lethbridge,4070,1965,2105,Immigrants,Before 1980
Lethbridge,1435,745,690,Immigrants,1980 to 1990
Lethbridge,1555,695,855,Immigrants,1991 to 2000
Lethbridge,3645,1840,1800,Immigrants,2001 to 2010
Lethbridge,6680,3300,3385,Immigrants,2011 to 2021
Lethbridge,1735,905,830,Non-permanent residents,0
Okotoks,25925,12925,13000,Non-immigrants,0
Okotoks,3990,1870,2130,Immigrants,0
Okotoks,835,355,480,Immigrants,Before 1980
Okotoks,410,190,220,Immigrants,1980 to 1990
Okotoks,350,160,185,Immigrants,1991 to 2000
Okotoks,1055,540,515,Immigrants,2001 to 2010
Okotoks,1345,615,725,Immigrants,2011 to 2021
Okotoks,100,70,35,Non-permanent residents,0
High River,11315,5565,5745,Non-immigrants,0
High River,2650,1280,1370,Immigrants,0
High River,450,205,245,Immigrants,Before 1980
High River,140,65,75,Immigrants,1980 to 1990
High River,160,70,95,Immigrants,1991 to 2000
High River,310,165,145,Immigrants,2001 to 2010
High River,1590,775,810,Immigrants,2011 to 2021
High River,150,100,50,Non-permanent residents,0
Calgary,976430,492820,483615,Non-immigrants,0
Calgary,460875,221635,239240,Immigrants,0
Calgary,53400,25920,27480,Immigrants,Before 1980
Calgary,43715,21400,22310,Immigrants,1980 to 1990
Calgary,65945,31675,34280,Immigrants,1991 to 2000
Calgary,124645,59840,64800,Immigrants,2001 to 2010
Calgary,173170,82800,90365,Immigrants,2011 to 2021
Calgary,27865,14575,13285,Non-permanent residents,0
Strathmore,12730,6230,6500,Non-immigrants,0
Strathmore,1250,590,665,Immigrants,0
Strathmore,345,180,170,Immigrants,Before 1980
Strathmore,105,30,70,Immigrants,1980 to 1990
Strathmore,125,65,65,Immigrants,1991 to 2000
Strathmore,260,130,130,Immigrants,2001 to 2010
Strathmore,420,190,230,Immigrants,2011 to 2021
Strathmore,130,70,55,Non-permanent residents,0
Canmore,11705,5735,5970,Non-immigrants,0
Canmore,3265,1660,1605,Immigrants,0
Canmore,645,340,305,Immigrants,Before 1980
Canmore,265,125,135,Immigrants,1980 to 1990
Canmore,350,140,210,Immigrants,1991 to 2000
Canmore,665,380,290,Immigrants,2001 to 2010
Canmore,1340,670,675,Immigrants,2011 to 2021
Canmore,550,265,280,Non-permanent residents,0
Red Deer,80665,39980,40690,Non-immigrants,0
Red Deer,16540,7920,8615,Immigrants,0
Red Deer,1770,795,980,Immigrants,Before 1980
Red Deer,1170,590,585,Immigrants,1980 to 1990
Red Deer,1390,705,685,Immigrants,1991 to 2000
Red Deer,3870,1840,2030,Immigrants,2001 to 2010
Red Deer,8325,3995,4340,Immigrants,2011 to 2021
Red Deer,840,395,445,Non-permanent residents,0
Sylvan Lake,15285,7620,7670,Non-immigrants,0
Sylvan Lake,1070,495,575,Immigrants,0
Sylvan Lake,235,100,135,Immigrants,Before 1980
Sylvan Lake,95,35,55,Immigrants,1980 to 1990
Sylvan Lake,125,65,55,Immigrants,1991 to 2000
Sylvan Lake,250,95,150,Immigrants,2001 to 2010
Sylvan Lake,365,195,175,Immigrants,2011 to 2021
Sylvan Lake,80,30,50,Non-permanent residents,0
Lacombe,11410,5570,5840,Non-immigrants,0
Lacombe,1555,700,855,Immigrants,0
Lacombe,290,125,165,Immigrants,Before 1980
Lacombe,125,45,80,Immigrants,1980 to 1990
Lacombe,140,80,65,Immigrants,1991 to 2000
Lacombe,270,120,150,Immigrants,2001 to 2010
Lacombe,725,330,395,Immigrants,2011 to 2021
Lacombe,100,45,60,Non-permanent residents,0
Camrose,16145,7770,8380,Non-immigrants,0
Camrose,1860,885,980,Immigrants,0
Camrose,350,200,155,Immigrants,Before 1980
Camrose,110,45,65,Immigrants,1980 to 1990
Camrose,150,55,90,Immigrants,1991 to 2000
Camrose,225,95,135,Immigrants,2001 to 2010
Camrose,1020,490,530,Immigrants,2011 to 2021
Camrose,180,110,65,Non-permanent residents,0
Edmonton,1008260,506940,501320,Non-immigrants,0
Edmonton,363910,175900,188010,Immigrants,0
Edmonton,47660,23575,24085,Immigrants,Before 1980
Edmonton,36605,17975,18630,Immigrants,1980 to 1990
Edmonton,45840,21345,24490,Immigrants,1991 to 2000
Edmonton,84305,40770,43535,Immigrants,2001 to 2010
Edmonton,149505,72235,77270,Immigrants,2011 to 2021
Edmonton,25580,13470,12110,Non-permanent residents,0
Lloydminster,31030,15715,15315,Non-immigrants,0
Lloydminster,4620,2190,2430,Immigrants,0
Lloydminster,225,105,120,Immigrants,Before 1980
Lloydminster,145,60,85,Immigrants,1980 to 1990
Lloydminster,225,90,130,Immigrants,1991 to 2000
Lloydminster,1120,570,555,Immigrants,2001 to 2010
Lloydminster,2910,1365,1540,Immigrants,2011 to 2021
Lloydminster,270,155,115,Non-permanent residents,0
Lloydminster (Saskatchewan part),14120,7230,6895,Non-immigrants,0
Lloydminster (Saskatchewan part),2480,1180,1300,Immigrants,0
Lloydminster (Saskatchewan part),80,35,50,Immigrants,Before 1980
Lloydminster (Saskatchewan part),35,15,25,Immigrants,1980 to 1990
Lloydminster (Saskatchewan part),45,20,25,Immigrants,1991 to 2000
Lloydminster (Saskatchewan part),580,290,290,Immigrants,2001 to 2010
Lloydminster (Saskatchewan part),1735,830,910,Immigrants,2011 to 2021
Lloydminster (Saskatchewan part),90,45,45,Non-permanent residents,0
Lloydminster (Alberta part),16905,8490,8420,Non-immigrants,0
Lloydminster (Alberta part),2140,1010,1125,Immigrants,0
Lloydminster (Alberta part),145,70,75,Immigrants,Before 1980
Lloydminster (Alberta part),105,45,55,Immigrants,1980 to 1990
Lloydminster (Alberta part),175,75,100,Immigrants,1991 to 2000
Lloydminster (Alberta part),540,280,260,Immigrants,2001 to 2010
Lloydminster (Alberta part),1170,540,635,Immigrants,2011 to 2021
Lloydminster (Alberta part),185,105,75,Non-permanent residents,0
Grande Prairie,53815,27505,26305,Non-immigrants,0
Grande Prairie,8360,3960,4400,Immigrants,0
Grande Prairie,710,365,345,Immigrants,Before 1980
Grande Prairie,455,215,240,Immigrants,1980 to 1990
Grande Prairie,810,430,385,Immigrants,1991 to 2000
Grande Prairie,1510,685,830,Immigrants,2001 to 2010
Grande Prairie,4865,2270,2600,Immigrants,2011 to 2021
Grande Prairie,1000,510,490,Non-permanent residents,0
Wood Buffalo,57005,30340,26665,Non-immigrants,0
Wood Buffalo,15425,7735,7685,Immigrants,0
Wood Buffalo,650,405,245,Immigrants,Before 1980
Wood Buffalo,615,330,280,Immigrants,1980 to 1990
Wood Buffalo,1550,905,645,Immigrants,1991 to 2000
Wood Buffalo,4530,2325,2210,Immigrants,2001 to 2010
Wood Buffalo,8080,3760,4310,Immigrants,2011 to 2021
Wood Buffalo,865,435,430,Non-permanent residents,0
Wetaskiwin,10420,5040,5380,Non-immigrants,0
Wetaskiwin,1595,800,795,Immigrants,0
Wetaskiwin,350,170,180,Immigrants,Before 1980
Wetaskiwin,140,50,90,Immigrants,1980 to 1990
Wetaskiwin,175,115,65,Immigrants,1991 to 2000
Wetaskiwin,310,145,160,Immigrants,2001 to 2010
Wetaskiwin,625,320,305,Immigrants,2011 to 2021
Wetaskiwin,100,65,35,Non-permanent residents,0
Cranbrook,23590,11730,11855,Non-immigrants,0
Cranbrook,2320,1110,1210,Immigrants,0
Cranbrook,970,485,485,Immigrants,Before 1980
Cranbrook,215,95,120,Immigrants,1980 to 1990
Cranbrook,225,75,150,Immigrants,1991 to 2000
Cranbrook,340,180,165,Immigrants,2001 to 2010
Cranbrook,565,275,290,Immigrants,2011 to 2021
Cranbrook,390,190,195,Non-permanent residents,0
Nelson,15720,7775,7950,Non-immigrants,0
Nelson,2565,1265,1300,Immigrants,0
Nelson,955,500,455,Immigrants,Before 1980
Nelson,215,95,115,Immigrants,1980 to 1990
Nelson,240,110,135,Immigrants,1991 to 2000
Nelson,495,245,250,Immigrants,2001 to 2010
Nelson,665,320,345,Immigrants,2011 to 2021
Nelson,425,220,205,Non-permanent residents,0
Trail,12570,6275,6300,Non-immigrants,0
Trail,1075,480,600,Immigrants,0
Trail,575,290,285,Immigrants,Before 1980
Trail,120,45,80,Immigrants,1980 to 1990
Trail,115,35,85,Immigrants,1991 to 2000
Trail,95,30,60,Immigrants,2001 to 2010
Trail,180,85,90,Immigrants,2011 to 2021
Trail,210,120,85,Non-permanent residents,0
Penticton,39620,19120,20505,Non-immigrants,0
Penticton,6135,2770,3355,Immigrants,0
Penticton,2950,1275,1675,Immigrants,Before 1980
Penticton,750,345,400,Immigrants,1980 to 1990
Penticton,710,300,410,Immigrants,1991 to 2000
Penticton,695,330,370,Immigrants,2001 to 2010
Penticton,1030,525,505,Immigrants,2011 to 2021
Penticton,405,175,230,Non-permanent residents,0
Kelowna,182660,89820,92850,Non-immigrants,0
Kelowna,31575,14830,16745,Immigrants,0
Kelowna,10415,4895,5520,Immigrants,Before 1980
Kelowna,3545,1635,1905,Immigrants,1980 to 1990
Kelowna,4175,1865,2310,Immigrants,1991 to 2000
Kelowna,5850,2780,3070,Immigrants,2001 to 2010
Kelowna,7595,3655,3940,Immigrants,2011 to 2021
Kelowna,4290,2235,2055,Non-permanent residents,0
Vernon,56995,27785,29205,Non-immigrants,0
Vernon,7825,3615,4205,Immigrants,0
Vernon,3345,1575,1770,Immigrants,Before 1980
Vernon,845,370,475,Immigrants,1980 to 1990
Vernon,830,400,430,Immigrants,1991 to 2000
Vernon,1430,640,790,Immigrants,2001 to 2010
Vernon,1370,625,750,Immigrants,2011 to 2021
Vernon,510,255,255,Non-permanent residents,0
Salmon Arm,16855,8105,8750,Non-immigrants,0
Salmon Arm,1915,850,1060,Immigrants,0
Salmon Arm,860,385,480,Immigrants,Before 1980
Salmon Arm,160,70,95,Immigrants,1980 to 1990
Salmon Arm,240,95,145,Immigrants,1991 to 2000
Salmon Arm,260,130,135,Immigrants,2001 to 2010
Salmon Arm,390,175,220,Immigrants,2011 to 2021
Salmon Arm,125,75,45,Non-permanent residents,0
Kamloops,96970,48050,48920,Non-immigrants,0
Kamloops,10825,5195,5625,Immigrants,0
Kamloops,4240,2035,2205,Immigrants,Before 1980
Kamloops,1095,505,585,Immigrants,1980 to 1990
Kamloops,1235,585,650,Immigrants,1991 to 2000
Kamloops,1650,755,895,Immigrants,2001 to 2010
Kamloops,2605,1310,1290,Immigrants,2011 to 2021
Kamloops,2750,1530,1225,Non-permanent residents,0
Chilliwack,94570,46840,47730,Non-immigrants,0
Chilliwack,16195,7605,8590,Immigrants,0
Chilliwack,5655,2635,3020,Immigrants,Before 1980
Chilliwack,1930,920,1015,Immigrants,1980 to 1990
Chilliwack,2265,1015,1250,Immigrants,1991 to 2000
Chilliwack,2930,1425,1510,Immigrants,2001 to 2010
Chilliwack,3415,1615,1795,Immigrants,2011 to 2021
Chilliwack,795,420,370,Non-permanent residents,0
Abbotsford - Mission,136190,68345,67850,Non-immigrants,0
Abbotsford - Mission,50085,24040,26045,Immigrants,0
Abbotsford - Mission,8765,4280,4485,Immigrants,Before 1980
Abbotsford - Mission,5455,2665,2790,Immigrants,1980 to 1990
Abbotsford - Mission,9805,4535,5270,Immigrants,1991 to 2000
Abbotsford - Mission,12830,6165,6660,Immigrants,2001 to 2010
Abbotsford - Mission,13230,6390,6840,Immigrants,2011 to 2021
Abbotsford - Mission,5840,3255,2585,Non-permanent residents,0
Vancouver,1384550,702470,682080,Non-immigrants,0
Vancouver,1089185,507280,581900,Immigrants,0
Vancouver,158270,75060,83210,Immigrants,Before 1980
Vancouver,126870,59335,67530,Immigrants,1980 to 1990
Vancouver,255475,117730,137750,Immigrants,1991 to 2000
Vancouver,259830,119250,140585,Immigrants,2001 to 2010
Vancouver,288735,135905,152830,Immigrants,2011 to 2021
Vancouver,133275,67495,65785,Non-permanent residents,0
Squamish,18495,9370,9125,Non-immigrants,0
Squamish,4775,2365,2415,Immigrants,0
Squamish,1020,520,500,Immigrants,Before 1980
Squamish,390,165,220,Immigrants,1980 to 1990
Squamish,730,360,375,Immigrants,1991 to 2000
Squamish,805,365,435,Immigrants,2001 to 2010
Squamish,1840,955,885,Immigrants,2011 to 2021
Squamish,685,395,290,Non-permanent residents,0
Victoria,306395,149770,156625,Non-immigrants,0
Victoria,73345,33955,39385,Immigrants,0
Victoria,25145,11620,13525,Immigrants,Before 1980
Victoria,8235,3975,4260,Immigrants,1980 to 1990
Victoria,9595,4290,5305,Immigrants,1991 to 2000
Victoria,12675,5755,6925,Immigrants,2001 to 2010
Victoria,17700,8320,9380,Immigrants,2011 to 2021
Victoria,8730,4420,4310,Non-permanent residents,0
Ladysmith,13440,6650,6790,Non-immigrants,0
Ladysmith,1710,795,915,Immigrants,0
Ladysmith,1040,460,580,Immigrants,Before 1980
Ladysmith,160,75,90,Immigrants,1980 to 1990
Ladysmith,165,95,70,Immigrants,1991 to 2000
Ladysmith,245,135,110,Immigrants,2001 to 2010
Ladysmith,100,30,70,Immigrants,2011 to 2021
Ladysmith,80,35,45,Non-permanent residents,0
Duncan,40330,19600,20730,Non-immigrants,0
Duncan,5835,2720,3110,Immigrants,0
Duncan,2955,1415,1545,Immigrants,Before 1980
Duncan,705,295,410,Immigrants,1980 to 1990
Duncan,475,245,230,Immigrants,1991 to 2000
Duncan,715,335,380,Immigrants,2001 to 2010
Duncan,985,430,550,Immigrants,2011 to 2021
Duncan,275,120,155,Non-permanent residents,0
Nanaimo,93330,45930,47400,Non-immigrants,0
Nanaimo,17195,7995,9200,Immigrants,0
Nanaimo,6480,3120,3360,Immigrants,Before 1980
Nanaimo,1950,880,1065,Immigrants,1980 to 1990
Nanaimo,1940,820,1115,Immigrants,1991 to 2000
Nanaimo,2845,1350,1490,Immigrants,2001 to 2010
Nanaimo,3980,1820,2165,Immigrants,2011 to 2021
Nanaimo,1885,905,975,Non-permanent residents,0
Parksville,24565,11515,13050,Non-immigrants,0
Parksville,5325,2410,2910,Immigrants,0
Parksville,3530,1640,1885,Immigrants,Before 1980
Parksville,560,245,315,Immigrants,1980 to 1990
Parksville,305,105,195,Immigrants,1991 to 2000
Parksville,475,195,280,Immigrants,2001 to 2010
Parksville,455,220,235,Immigrants,2011 to 2021
Parksville,125,50,75,Non-permanent residents,0
Port Alberni,22905,11300,11610,Non-immigrants,0
Port Alberni,2365,1140,1225,Immigrants,0
Port Alberni,1490,765,730,Immigrants,Before 1980
Port Alberni,235,100,130,Immigrants,1980 to 1990
Port Alberni,145,50,90,Immigrants,1991 to 2000
Port Alberni,200,95,100,Immigrants,2001 to 2010
Port Alberni,300,125,170,Immigrants,2011 to 2021
Port Alberni,105,55,50,Non-permanent residents,0
Courtenay,53470,25855,27620,Non-immigrants,0
Courtenay,8005,3695,4305,Immigrants,0
Courtenay,4015,1825,2185,Immigrants,Before 1980
Courtenay,965,440,525,Immigrants,1980 to 1990
Courtenay,755,370,385,Immigrants,1991 to 2000
Courtenay,990,450,540,Immigrants,2001 to 2010
Courtenay,1275,615,660,Immigrants,2011 to 2021
Courtenay,550,225,330,Non-permanent residents,0
Campbell River,35595,17770,17835,Non-immigrants,0
Campbell River,4105,1885,2220,Immigrants,0
Campbell River,1970,910,1060,Immigrants,Before 1980
Campbell River,430,175,255,Immigrants,1980 to 1990
Campbell River,405,130,275,Immigrants,1991 to 2000
Campbell River,515,260,255,Immigrants,2001 to 2010
Campbell River,790,410,375,Immigrants,2011 to 2021
Campbell River,230,120,110,Non-permanent residents,0
Powell River,15090,7495,7590,Non-immigrants,0
Powell River,2275,970,1305,Immigrants,0
Powell River,1270,575,695,Immigrants,Before 1980
Powell River,275,120,160,Immigrants,1980 to 1990
Powell River,145,40,100,Immigrants,1991 to 2000
Powell River,190,40,145,Immigrants,2001 to 2010
Powell River,400,195,205,Immigrants,2011 to 2021
Powell River,100,40,60,Non-permanent residents,0
Williams Lake,21160,10685,10475,Non-immigrants,0
Williams Lake,1990,965,1025,Immigrants,0
Williams Lake,905,470,435,Immigrants,Before 1980
Williams Lake,165,75,90,Immigrants,1980 to 1990
Williams Lake,245,95,145,Immigrants,1991 to 2000
Williams Lake,225,120,100,Immigrants,2001 to 2010
Williams Lake,455,205,250,Immigrants,2011 to 2021
Williams Lake,190,100,95,Non-permanent residents,0
Quesnel,21150,10750,10400,Non-immigrants,0
Quesnel,1650,755,900,Immigrants,0
Quesnel,875,440,435,Immigrants,Before 1980
Quesnel,170,75,100,Immigrants,1980 to 1990
Quesnel,120,50,70,Immigrants,1991 to 2000
Quesnel,205,80,130,Immigrants,2001 to 2010
Quesnel,275,110,170,Immigrants,2011 to 2021
Quesnel,100,40,65,Non-permanent residents,0
Prince Rupert,11380,5895,5490,Non-immigrants,0
Prince Rupert,1620,795,820,Immigrants,0
Prince Rupert,475,255,220,Immigrants,Before 1980
Prince Rupert,260,150,110,Immigrants,1980 to 1990
Prince Rupert,225,110,115,Immigrants,1991 to 2000
Prince Rupert,250,95,160,Immigrants,2001 to 2010
Prince Rupert,410,190,215,Immigrants,2011 to 2021
Prince Rupert,295,180,110,Non-permanent residents,0
Terrace,17435,8750,8690,Non-immigrants,0
Terrace,1640,775,860,Immigrants,0
Terrace,825,405,415,Immigrants,Before 1980
Terrace,180,90,95,Immigrants,1980 to 1990
Terrace,185,70,110,Immigrants,1991 to 2000
Terrace,145,70,75,Immigrants,2001 to 2010
Terrace,310,140,170,Immigrants,2011 to 2021
Terrace,440,285,150,Non-permanent residents,0
Prince George,77685,39035,38645,Non-immigrants,0
Prince George,8495,3970,4530,Immigrants,0
Prince George,3025,1480,1545,Immigrants,Before 1980
Prince George,910,395,510,Immigrants,1980 to 1990
Prince George,1025,445,580,Immigrants,1991 to 2000
Prince George,1155,510,645,Immigrants,2001 to 2010
Prince George,2385,1140,1245,Immigrants,2011 to 2021
Prince George,1730,895,835,Non-permanent residents,0
Dawson Creek,15415,7775,7640,Non-immigrants,0
Dawson Creek,1520,685,830,Immigrants,0
Dawson Creek,350,165,185,Immigrants,Before 1980
Dawson Creek,130,50,80,Immigrants,1980 to 1990
Dawson Creek,135,55,80,Immigrants,1991 to 2000
Dawson Creek,170,60,115,Immigrants,2001 to 2010
Dawson Creek,735,365,375,Immigrants,2011 to 2021
Dawson Creek,445,245,200,Non-permanent residents,0
Fort St. John,24685,12820,11865,Non-immigrants,0
Fort St. John,3025,1460,1565,Immigrants,0
Fort St. John,410,190,220,Immigrants,Before 1980
Fort St. John,135,50,80,Immigrants,1980 to 1990
Fort St. John,275,140,135,Immigrants,1991 to 2000
Fort St. John,580,255,330,Immigrants,2001 to 2010
Fort St. John,1625,825,800,Immigrants,2011 to 2021
Fort St. John,720,425,295,Non-permanent residents,0
Whitehorse,25940,12945,12990,Non-immigrants,0
Whitehorse,4630,2150,2480,Immigrants,0
Whitehorse,890,430,465,Immigrants,Before 1980
Whitehorse,290,125,160,Immigrants,1980 to 1990
Whitehorse,565,220,345,Immigrants,1991 to 2000
Whitehorse,950,455,495,Immigrants,2001 to 2010
Whitehorse,1935,920,1010,Immigrants,2011 to 2021
Whitehorse,855,445,410,Non-permanent residents,0
Yellowknife,16300,8100,8205,Non-immigrants,0
Yellowknife,3265,1625,1640,Immigrants,0
Yellowknife,400,215,185,Immigrants,Before 1980
Yellowknife,260,140,120,Immigrants,1980 to 1990
Yellowknife,505,235,270,Immigrants,1991 to 2000
Yellowknife,820,375,445,Immigrants,2001 to 2010
Yellowknife,1280,660,620,Immigrants,2011 to 2021
Yellowknife,345,165,175,Non-permanent residents,0
