GEO_NAME,0 to 4 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree","Under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 and over",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house
Nelson,735,890,1055,910,765,1125,1330,1335,1410,1390,1205,1250,1455,1455,1215,705,425,930,4145,1655,32220,1155,1820,2690,2280,1795,1490,1070,865,615,520,2725,5805,15720,425,20825,14595,1805,2655,1050,0,780,370,120,265,320,5595
New Glasgow,1300,1650,1945,1830,1695,1590,1650,1745,2030,2145,2365,2815,2940,2785,2465,1540,950,1880,8620,5670,46605,2335,3805,5245,3980,3715,2710,1795,1250,885,685,3030,2310,32645,155,35585,26510,3265,4715,1940,10,350,815,20,435,695,11220
Norfolk,3165,3640,3490,3465,3190,3345,3695,3685,3470,3415,4140,5405,5955,5730,4730,3205,1930,3710,17690,11880,83635,4060,7335,8895,7145,6365,5435,4115,3035,2275,1705,8350,14965,58905,245,76565,43920,7265,10030,1890,385,570,130,90,945,770,22815
North Battleford,1220,1290,1310,1275,1085,1095,1255,1300,1205,1085,955,1195,1290,1170,890,640,470,1295,4700,3075,23100,1030,1560,2280,1910,1760,1500,1110,875,625,525,2440,5710,16315,280,17925,14550,1940,2080,1195,150,115,235,35,245,270,5620
North Bay,3115,3580,3735,3720,4100,4225,4440,4420,4015,4205,4485,5935,5870,4870,4145,2835,2090,3900,16385,10105,104100,4070,7690,9350,7570,6730,5460,4425,3225,2300,1760,10540,7310,66260,535,76900,53390,7075,9895,4310,2080,1665,170,70,2105,2215,18575
Okotoks,1650,2215,2710,2490,1490,1165,1620,2135,2400,2405,2030,1790,1800,1515,1270,815,450,870,7455,2935,41375,2015,2120,2810,2365,2020,1765,1550,1255,1065,980,8280,9325,25925,100,32625,16930,4365,3180,955,5,110,110,5,645,515,8140
Orillia,1550,1525,1570,1600,1690,2175,2275,1970,1680,1720,1900,2460,2620,2335,2110,1530,1210,2980,8565,5375,42710,1705,3550,5020,4090,3370,2645,1860,1270,915,650,3460,6710,28970,185,33145,28045,2960,4220,2760,920,905,170,30,1245,360,8035
Oshawa,23510,26210,27125,25290,24420,25525,28640,29950,28225,27620,27570,30260,25535,20145,17280,11715,7865,16845,98955,49265,578320,26440,36915,45570,37380,34185,28760,22985,18935,14755,12555,83320,204780,315710,3880,420560,288325,56650,38710,11200,11415,5425,80,195,15705,7790,97240
Ottawa - Gatineau,74165,86825,90350,85865,95515,101490,101450,101965,97820,96800,97960,107175,97735,80115,67345,45455,29605,61320,283270,154760,2395865,88990,119405,147010,122850,112950,103025,93830,78370,65490,52665,365265,726275,1115495,35160,1554210,1076165,175785,165655,87770,84155,16795,1480,845,98330,43225,272125
Ottawa - Gatineau (Ontario part),55070,64320,67655,66645,75880,78860,77695,77215,72930,73650,74835,81190,73085,60450,52025,35170,23545,49590,220265,104410,1852125,70840,91435,110570,91940,82245,74965,68800,58635,49825,41080,303880,614350,819935,29800,1172180,820265,136265,126175,47530,77160,8440,1210,570,89915,24265,204485
Ottawa - Gatineau (Quebec part),19095,22505,22695,19220,19635,22630,23755,24750,24895,23150,23125,25985,24650,19665,15325,10280,6065,11725,63005,50350,543725,18150,27965,36445,30910,30705,28055,25025,19735,15665,11580,61370,111940,295560,5360,382015,255895,39510,39485,40240,6995,8355,270,275,8405,18960,67640
Owen Sound,1400,1605,1655,1610,1590,1710,1845,1810,1740,1665,1935,2565,2785,2550,2290,1570,1075,2590,8575,4960,42790,1850,3635,4595,3810,3275,2490,1890,1330,865,705,4210,5095,29410,125,35405,23845,3165,4720,2770,735,290,165,30,725,435,9240
Parksville,700,985,970,1000,820,825,920,1135,1160,1270,1455,2185,3040,3605,4075,3100,1965,3690,8285,3050,50925,1655,3415,4855,3955,3405,2590,1905,1425,960,695,4205,11105,24565,125,40050,19500,2130,6955,1335,70,220,490,25,1170,850,10610
Pembroke,1170,1175,1220,1190,1250,1475,1435,1440,1240,1270,1380,1900,1890,1655,1410,1050,755,1795,6470,3515,29945,1290,2600,3115,2575,2165,1900,1480,1070,750,565,2885,2065,22060,50,24855,18025,2340,3160,1835,0,245,5,25,310,590,7245
Penticton,1600,1850,2045,2000,1890,2090,2475,2675,2530,2535,2815,3760,4540,4105,3590,2700,1950,4460,13335,6160,67510,2800,4930,7310,5825,4990,3840,2870,1935,1450,1000,6075,13300,39620,405,52620,35950,3800,7865,5210,1210,945,1220,135,1970,720,10525
Petawawa,1400,1465,1090,915,1365,2020,2050,1595,1125,920,865,925,720,565,505,280,210,320,4800,1600,21825,815,1170,1225,1160,1145,1275,1635,1540,1060,615,2610,2415,16125,100,19720,10820,2360,1955,635,0,45,5,15,840,455,4760
Peterborough,5710,6635,6585,6405,7975,8035,7890,7795,6775,6775,7320,9230,9960,9245,8255,5760,3865,8830,32080,15720,184160,7575,13705,17400,14185,12505,9570,7100,5380,3910,3050,18770,24045,113400,1615,136555,95610,13260,17035,6785,2590,2745,175,100,3195,875,36900
Port Alberni,1000,1270,1330,1245,1045,1245,1415,1445,1400,1425,1605,2070,2305,2220,1885,1345,805,1490,6990,4805,32700,1645,2970,3770,3295,2580,1960,1465,1030,785,525,2470,5030,22905,105,27830,19405,2225,3885,1310,140,435,495,20,515,305,8495
Port Hope,685,730,795,800,745,925,1025,970,880,890,1060,1485,1465,1405,1355,920,540,1230,4890,2065,24155,980,1745,2100,1805,1675,1435,1090,865,595,475,3100,3510,15150,15,19965,12075,1835,2605,770,450,90,5,15,425,270,5285
Portage la Prairie,765,890,820,800,805,795,925,815,715,700,750,895,925,765,650,490,345,825,3265,2265,15325,775,1150,1705,1465,1250,1090,795,520,415,295,1205,3110,11420,225,12030,10525,1220,1450,795,255,40,80,5,345,140,3975
Powell River,625,785,815,825,630,695,830,975,925,905,1085,1440,1725,1720,1505,1015,670,1350,4685,2465,26270,1195,1995,2695,2375,1860,1440,975,630,470,365,1855,4955,15090,100,20475,12710,1555,2955,950,20,320,340,30,105,255,6160
Prince Albert,2990,3120,3365,3115,3045,3220,3140,3015,2745,2500,2500,2825,2735,2280,1895,1255,1030,1875,11570,6845,49725,2715,3530,5060,4320,3790,3180,2275,1765,1420,1265,5840,9805,39120,515,39425,36725,4295,4410,3145,625,310,260,15,490,485,11735
Prince George,4435,5130,5535,5220,5835,6495,6365,6280,5560,5625,5835,6375,6180,5070,4040,2690,1585,2450,24495,12575,115495,5595,7255,9515,8630,7785,6715,5350,4470,3535,2985,17530,19380,77685,1730,93230,65240,9450,11050,4740,575,2505,2855,40,1850,1300,22935
Prince Rupert,730,755,860,765,825,965,1040,810,785,845,915,935,1010,785,595,390,235,415,3655,2650,15120,1010,1180,1515,1220,1045,880,715,525,485,415,3355,3650,11380,295,13655,10295,1445,1425,905,60,635,100,15,310,230,3245
Quesnel,1010,1195,1450,1215,1050,1205,1265,1350,1285,1410,1590,1890,1995,1795,1500,890,565,915,6680,4615,26110,1685,2490,3180,2585,2005,1425,1115,990,750,600,3560,3570,21150,100,25725,15960,2245,3415,1065,0,205,1165,40,300,210,7170
Québec,40730,46410,46460,40030,45550,54715,53945,55515,58155,49445,48450,58135,59950,54795,48260,35640,21665,42935,137460,85230,1489085,35945,67285,94355,85525,88740,78375,59310,44215,34825,24790,118985,135850,746855,15395,1015595,601730,85635,112725,145325,26870,22840,2815,1325,9380,22600,156805
Red Deer,5405,6350,6610,6170,6075,6475,7505,7900,7515,6520,6030,6500,6600,5330,3865,2470,1795,3440,25680,12965,131220,5455,6985,12640,10165,9030,7270,5615,4260,3275,2775,17170,41390,80665,840,97835,75230,11080,10890,8495,590,1480,1045,30,4075,3275,21515
Regina,14880,16410,16045,14405,15985,16530,18955,19715,17905,15230,14005,15645,15010,12725,9560,6280,4555,10740,62195,26710,343170,14305,17615,25145,22345,21325,18665,15445,12505,9970,8075,47585,120040,192745,6155,248630,173705,29330,26745,18660,4395,2220,495,45,6195,2715,65495
Rimouski,2350,2745,2805,2500,2880,3080,3055,3140,3345,2925,2855,3865,4625,4575,3795,2500,1470,2900,9170,6490,94290,2500,5415,7220,6295,6100,4800,3355,2340,1835,1285,5550,2890,50805,485,66640,39495,5055,7915,7360,490,1195,220,130,635,2280,13310
Rivière-du-Loup,1335,1580,1740,1550,1420,1560,1705,1740,1895,1745,1555,2115,2375,2415,1990,1460,855,2020,4860,4385,49925,1300,2915,3915,3420,3420,2815,1960,1180,890,600,2685,1175,27805,385,37300,21200,2930,4290,4315,45,680,140,115,185,820,7425
Rouyn-Noranda,2305,2545,2455,2135,2285,2810,2825,2760,2540,2360,2505,3175,3285,2770,2170,1465,890,2090,6795,7365,66755,2035,3825,5080,4035,4115,3405,2610,1885,1600,1170,7495,1870,40110,425,52265,28950,4335,5720,5655,55,1680,230,140,110,1115,10295
Saguenay,7570,8530,8455,7795,7910,9050,9320,9845,10280,8645,8435,12105,14185,12680,10280,7270,4775,8875,26435,22045,286405,8575,16330,20855,17060,17310,14615,10330,6870,5300,3400,20475,4920,154185,1650,203110,110225,15795,24650,17870,1050,9325,445,240,1660,5755,38465
Saint John,5870,6870,7465,7165,7295,7635,7765,7865,8175,8610,8685,10550,10015,8850,7375,4760,2975,5365,34350,15415,183215,8400,11995,17195,14630,13490,9695,7195,5295,4215,3005,17655,21145,118110,1815,137775,95010,14025,16975,11265,2155,3860,1760,130,2325,1270,33095
Saint-Georges,1535,2070,2160,1890,1665,1675,1815,2125,2455,2025,2085,2640,2735,2495,2145,1605,860,1700,6455,6450,51800,1470,3775,4895,3730,3970,3230,2225,1495,1080,625,2775,1560,32810,565,39955,25810,3410,4560,3865,315,700,45,120,230,1745,9125
Saint-Hyacinthe,2725,3040,3325,2925,3185,3470,3340,3415,3850,3270,3450,4205,4455,4285,3745,2985,1950,4720,11775,11475,84530,2670,6075,8920,6915,6680,5260,3625,2270,1685,1070,4850,11000,51915,1365,66270,47930,5320,7825,12890,145,2310,95,205,645,1565,10100
Sainte-Agathe-des-Monts,780,940,980,765,660,780,905,1060,1260,1140,1140,1740,2115,1875,1565,1070,590,1070,3805,3160,32295,940,2210,3415,2570,2170,1550,1115,730,560,295,1845,2425,18240,85,23280,15615,1590,3035,1590,5,1570,160,35,220,185,5900
Sainte-Marie,720,785,840,680,615,640,775,820,910,770,730,900,1010,885,750,555,365,800,2360,1795,20530,490,1125,1595,1290,1410,1295,880,690,485,280,1270,750,12115,210,16180,8360,1465,1740,1095,5,150,70,10,125,850,3200
Salaberry-de-Valleyfield,2070,2205,1980,1695,2050,2720,2750,2400,2475,2190,2515,3285,3655,3325,2800,2150,1245,2535,8750,8910,59520,1940,4585,6510,5145,4755,3600,2465,1680,1260,830,3170,3025,39740,150,48505,34190,3685,5840,6535,0,2700,0,60,390,1235,9150
Salmon Arm,755,975,1120,1065,730,825,965,1005,1075,990,1150,1370,1690,1610,1435,1170,825,1935,4760,2515,27980,1155,2080,2700,2200,1890,1440,1075,840,590,445,2455,4215,16855,125,21530,13710,1895,2950,1105,0,680,420,30,605,225,5155
Sarnia,4725,4910,5235,4975,5155,5905,5865,5730,5375,5355,5735,7130,7955,7380,6195,4350,2765,5695,24775,11095,144300,6245,9540,11365,10025,8745,7165,5685,4395,3195,2700,19715,21585,84845,1365,104735,69020,10155,13515,3190,3985,800,45,75,2170,1375,30940
Saskatoon,19300,21180,20180,18580,21905,22775,25245,25095,22050,18850,17540,19290,18505,15645,11525,7510,5420,13785,75105,33370,449600,19030,24655,34600,30315,27005,22565,18375,14760,11700,9225,56570,144500,249955,5490,318250,219355,37720,34150,26055,4720,6800,945,55,8260,4605,73655
Sault Ste. Marie,3275,3955,3820,3740,4250,4495,4515,4320,4305,4165,4680,5935,6395,5525,4840,3365,2470,5340,19645,10215,108100,4140,7880,9595,8945,7760,5745,4350,3415,2905,2370,10505,13110,68400,930,79025,59635,7565,10085,4970,2060,1450,80,95,945,1825,22990
Sept-Îles,1475,1650,1845,1570,1435,1600,1645,1675,1770,1720,1840,2140,2040,1690,1395,985,735,1055,4585,5815,39770,1425,2265,3015,2640,2540,2225,1670,1185,885,725,6110,1245,26520,150,31510,20815,2775,3320,2945,175,510,1360,20,470,540,6265
Shawinigan,1985,2215,2085,1880,1950,2280,2420,2550,2675,2380,2680,4045,5125,4700,3815,2790,1860,4355,9900,9315,75445,2515,6105,8415,6175,5775,4175,2535,1635,1080,765,3090,2475,46310,320,55920,41425,3620,7450,8815,15,2420,90,300,220,700,12495
Sherbrooke,10745,12420,12850,11755,15505,14945,13740,13615,14145,12420,12765,15385,16085,15150,13150,9755,6010,13930,37600,30555,379730,11185,23315,32535,25020,23715,18275,12995,9320,7045,4795,23855,40700,199560,3815,259180,173955,21170,30090,41950,2480,6015,570,365,2800,4895,45580
Sorel-Tracy,1560,1855,1855,1730,1755,1895,2085,2220,2515,2140,2510,3215,3955,3800,3350,2640,1395,2915,8320,8135,63525,2215,4980,6620,4975,4280,3140,2145,1580,1415,975,4560,2335,39275,160,49880,32885,3455,6505,5430,150,1770,55,95,375,1105,11330
Squamish,1490,1560,1510,1060,980,1725,2365,2605,2315,2005,1490,1245,1035,960,745,525,325,585,5175,1760,39115,1330,1610,2170,2200,2075,1885,1510,1325,1045,895,5950,11400,18495,685,27935,15050,3095,2870,1660,635,610,370,20,1355,845,3810
St. Catharines - Niagara,19555,21160,22085,22615,24930,26400,26150,24785,23985,24990,27735,33310,33405,30475,26870,18590,12730,27685,116720,56295,593880,25760,45315,60785,53525,42760,32500,23745,16965,12180,9960,54950,166995,340945,8235,452290,325510,46690,54875,20980,10430,6415,555,580,12395,9680,118200
St. John's,9135,10775,11655,11235,13645,13605,14630,15020,14735,14490,14850,15570,14610,12870,10645,7185,4325,7160,46700,21900,340060,12495,19270,26135,21860,19920,15670,12150,9510,7710,6455,39960,23665,194935,4375,225625,157430,24620,25745,7225,550,22210,150,155,6285,4210,49215
Steinbach,1265,1295,1230,1090,1330,1260,1225,1275,1130,1000,880,945,835,825,725,595,435,960,4675,3330,18055,1165,1900,2400,1900,1800,1290,875,580,430,290,1365,9135,13585,255,17745,11060,2145,2000,1495,255,255,165,5,290,620,3750
Stratford,1530,1580,1695,1705,1680,1965,2040,2100,1900,1960,1995,2530,2625,2425,2015,1400,1000,2185,8810,4580,44640,1655,3200,4175,3620,3515,3045,2235,1580,1065,820,4365,7765,28625,300,35065,24845,3350,4460,2950,820,670,0,30,940,1535,7805
Strathmore,745,1005,1080,980,670,725,925,1015,1000,990,940,905,815,785,690,465,325,555,3875,2040,17120,895,1065,1725,1320,1165,870,815,635,520,430,2560,2925,12730,130,15025,9185,1705,1690,740,0,60,225,0,560,700,3235
Summerside,745,955,1005,995,1175,915,970,1010,1010,1135,1140,1440,1365,1240,1145,775,575,1115,4770,2745,23330,1040,1835,2745,2380,2150,1525,980,610,390,305,1160,2690,15965,640,18520,13980,1710,2405,1365,35,265,520,10,785,760,4210
Swift Current,945,1120,1060,1115,1050,1085,1210,1315,1100,1060,1060,1265,1295,1140,925,675,565,1550,5025,2680,23105,1110,1520,2065,1830,1835,1460,1195,855,710,485,2915,5575,15685,245,20155,12380,2080,2465,1280,100,165,265,5,365,400,5360
Sylvan Lake,1010,1215,1265,1085,950,1090,1265,1405,1260,1085,995,1015,980,775,545,275,185,230,4380,2130,20890,1010,1155,1775,1520,1330,1050,920,735,555,545,3520,2510,15285,80,16865,10855,1960,1785,535,135,235,190,5,775,310,4430
Terrace,1145,1185,1195,1085,1115,1415,1455,1340,1210,1155,1355,1380,1360,1125,910,585,340,495,4900,2805,26755,1235,1655,2130,1900,1695,1460,1140,900,755,605,3850,3595,17435,440,20975,13695,2085,2440,610,0,385,750,50,485,345,5375
Thetford Mines,1100,1305,1430,1160,1145,1290,1305,1395,1640,1345,1485,2065,2425,2400,2270,1745,1230,3110,4725,5060,43740,1210,3200,4675,3390,3140,2495,1445,870,655,415,1725,1090,25555,400,32895,21740,2250,4310,2690,0,1430,145,70,90,220,8615
Thompson,1095,1135,1140,905,925,1070,1075,905,900,770,785,795,570,400,270,170,90,80,2925,2485,12960,920,900,1085,980,960,775,635,450,395,390,3135,4500,10935,220,11580,9205,1475,970,1175,155,5,435,5,435,165,2300
Thunder Bay,5550,5965,6145,6125,7975,8735,7780,7280,6740,7085,7815,9235,9780,8450,7235,4615,3230,7030,28390,17305,180390,6620,11245,14650,13210,12125,10105,8065,6145,4455,3570,19535,21690,108275,2710,125615,97915,12250,15545,7925,2575,2440,400,120,1495,2100,37165
Tillsonburg,885,860,885,965,895,970,1010,990,990,980,1095,1280,1365,1405,1390,1080,750,1640,5150,3655,21465,995,1990,2720,2045,1955,1660,1200,870,500,370,1970,4830,15985,20,20720,12915,1840,2870,1135,495,205,10,25,495,285,5575
Timmins,1950,2285,2420,2270,2580,2720,2815,2545,2500,2580,2680,3220,3130,2525,1905,1305,910,1605,9920,7315,51675,2435,3945,4805,3830,3445,2940,2410,1810,1360,1230,8855,3130,38290,650,43690,30355,4280,5205,2480,510,1100,265,85,605,1185,11650
Toronto,289425,325675,349955,357165,418430,466530,467160,443940,414950,414990,431180,438475,381715,308525,258975,175000,126985,266305,1289080,737285,9648795,481940,614440,794350,588250,477560,389850,309625,248620,202345,166190,1309565,6442080,3030045,249980,6096150,4703330,838310,552175,215325,694735,90500,635,3470,210100,164580,883125
Trail,545,695,730,645,675,865,780,890,755,760,845,1035,1300,1225,990,615,450,950,3690,1660,21345,860,1270,1750,1665,1470,1175,715,555,395,420,2645,2340,12570,210,15395,10665,1325,2100,780,0,225,95,15,200,240,4950
Trois-Rivières,7210,8035,8270,7550,8940,9705,9005,9485,9810,8240,8835,11815,13140,12175,10630,7985,5165,11000,29030,22405,265915,7890,16945,23395,18320,17305,13600,9140,6375,4705,3230,17035,15620,146760,2415,187215,126455,14195,22320,27535,1115,5215,265,365,1975,5115,35045
Truro,1925,2250,2495,2360,2430,2550,2515,2555,2515,2860,3095,3760,3725,3350,2930,2110,1415,2640,11470,7465,62665,2920,5195,7010,5515,4920,3475,2450,1710,1340,915,4145,4825,42640,590,49875,33855,4405,6700,3720,5,1055,1250,65,230,655,13715
Val-d'Or,2025,1970,2090,1705,1770,2105,2270,2135,2075,1985,2015,2610,2745,2190,1725,1215,740,1325,5830,7195,48760,1690,3010,4140,3290,3185,2685,2035,1435,1240,865,6525,1940,32420,265,41580,23400,3510,4510,4350,225,1595,220,40,295,620,8030
Vancouver,114775,125290,131975,137415,174255,201270,210035,199405,178110,172885,183290,184880,168455,144285,121230,80025,56105,118295,618710,270240,4165250,229760,248480,325665,260250,222385,184935,146880,115620,91245,72940,525040,2467105,1384550,133275,2748710,1975550,327035,288310,255555,197280,167855,4525,1340,105965,22030,288775
Vernon,2555,3265,3425,3195,2865,3105,3555,3845,3790,3785,4005,5210,5790,5425,4825,3390,2430,5245,17750,8325,96170,4050,6755,9000,7700,6510,5150,3860,2880,2145,1720,10110,17020,56995,510,74660,47215,6315,10410,4905,350,2205,1005,100,2200,1680,16285
Victoria,15140,17725,17625,18365,23805,26575,27615,27585,25290,23615,25090,27400,28490,27680,25040,16855,10875,24925,94050,35000,650890,24290,32470,46350,40875,37875,32780,26745,21285,16590,12720,75760,164395,306395,8730,429535,305605,38365,56130,47460,14650,27125,2110,305,11320,6445,67260
Victoriaville,2550,2890,3025,2705,2475,2580,2740,3135,3295,2895,2835,3720,3975,4020,3505,2745,1870,4010,9355,9455,78380,2210,5830,7820,5995,5880,4520,2945,2030,1440,820,4100,3810,48565,415,61835,39335,4970,7145,7685,5,1290,70,35,195,2420,12215
Wasaga Beach,865,950,1095,985,920,1050,1080,1215,1170,1200,1410,2025,2280,2535,2525,1755,1015,1580,7585,4035,31905,1375,3080,3970,3105,2580,1865,1400,1040,745,565,3010,8825,20170,140,29855,16445,2290,4460,510,0,140,35,25,910,255,8930
Wetaskiwin,710,790,790,775,700,645,750,765,780,730,735,850,865,720,610,520,430,850,3295,2570,12840,665,990,1880,1290,1120,865,735,530,365,260,1260,3815,10420,100,11450,10155,1195,1320,980,0,170,165,10,445,405,3015
Weyburn,720,795,815,770,665,620,835,890,755,735,670,775,740,640,505,400,355,1135,3390,1735,14060,685,950,1330,1140,1030,910,745,540,440,345,2150,3280,10500,90,12605,8225,1385,1460,1055,115,55,135,5,110,140,3480
Whitehorse,1755,1940,1815,1670,1790,2250,2795,2840,2285,2140,1885,2085,2150,1745,1310,750,385,625,6580,3165,50870,1480,1790,2710,2525,2320,2070,2045,2095,1845,1685,9165,11195,25940,855,34000,23285,3435,3755,1830,55,650,1230,90,1155,1060,7110
Williams Lake,1225,1360,1390,1250,1160,1315,1420,1485,1415,1400,1555,1760,1885,1760,1370,885,495,940,6705,4100,28005,1720,2290,2870,2465,2110,1620,1305,1095,880,640,3820,4440,21160,190,26365,15835,2330,3420,970,0,570,1285,25,385,270,6530
Windsor,20375,23210,25210,25840,27555,27620,25355,24435,24985,26930,28470,31280,29830,25375,21615,14555,9775,20445,109585,60940,548460,28435,41290,51515,44530,40335,31840,22765,17020,12420,10220,62945,220915,309340,9255,418360,316110,49915,45215,13905,14110,4665,745,160,9230,7490,115360
Winkler,2540,2750,2650,2495,2210,2245,2185,2160,1965,1855,1695,1670,1655,1395,1100,780,615,1390,8215,7560,26990,2375,3365,4115,3445,3355,2350,1355,890,695,465,2035,19320,23785,270,32820,17435,4465,3380,845,350,60,440,10,1025,690,7945
Winnipeg,44715,47990,48420,47940,61050,59295,59905,59540,55865,52475,50385,54875,51820,44510,37020,24280,16295,36590,203950,98860,1170085,61495,71045,101725,88755,80075,63080,48245,35965,27455,21660,112465,506385,581540,30220,827130,622335,99725,86330,57665,41290,5600,1655,310,12290,12395,199120
Wood Buffalo,5905,6060,4995,4010,3980,5255,7520,8085,6615,5460,4925,4510,3260,1705,825,410,190,260,17135,7020,104625,4815,3445,4470,3950,3625,3165,2770,2405,2320,2225,40580,38930,57005,865,79395,42710,10325,6565,5645,845,470,2605,5,2755,1235,12915
Woodstock,2710,2875,2645,2480,2460,3035,3415,3295,3020,2750,2650,3170,3045,2640,2335,1665,1175,2670,12665,7530,54720,2510,4390,5595,4780,4645,4095,3095,2135,1510,1065,5385,15410,38855,285,49640,31910,5465,5580,2285,1680,390,0,25,2200,1455,10855
Yellowknife,1360,1420,1340,1190,1310,1635,1855,1745,1665,1410,1325,1385,1115,725,425,235,95,215,4265,2240,28910,1435,855,1195,1110,1085,1020,940,1040,940,945,10270,7810,16300,345,20960,14090,2545,1885,1940,295,305,545,20,885,195,3330
Yorkton,1070,1210,1310,1215,1085,1105,1220,1255,1280,1220,1160,1325,1310,1125,935,720,615,1420,5780,3075,22620,1005,1755,2415,2050,1870,1545,1230,875,630,550,2845,5480,17105,345,20405,13675,2120,2475,1345,0,60,195,5,235,280,6310
